"Nombre","Estilo","Gravedad_Original","Gravedad_Final","Grado_Alcoholico","Amargor","Color"
"Founders Porter clone","Robust Porter",1.07,1.018,6.75,50.18,49.32
"Black Lady VU Porter","Robust Porter",1.058,1.016,5.46,33.46,33.12
"Smoked Bacon Porter","Robust Porter",1.084,1.021,8.26,0,27.58
"Stone smoked porter","Baltic Porter",1.069,1.023,6.05,40.75,31.37
"Pecan porter","Robust Porter",1.054,1.013,5.28,35.85,30.43
"Porter #3","American Porter",1.052,1.013,5.09,24.47,23.79
"Finely Skilled Labour","Brown Porter",1.083,1.022,8.06,32.48,40
"Extract porter","Robust Porter",1.058,1.014,5.67,39.36,27.27
"Stovepipe Porter","Robust Porter",1.064,1.019,5.97,40.86,34.51
"Orange Cardamom Chocolate Porter","American Porter",1.074,1.018,7.26,19.28,36.1
"Sinebrychoff Porter Clone","Baltic Porter",1.073,1.019,7.2,39.51,50
"Nativity Imperial Sour Porter","Baltic Porter",1.082,1.026,7.38,35.89,35.6
"Bakke Brygg LakrisPorter","Robust Porter",1.06,1.014,5.98,34.82,40.29
"Coal Train Porter","Robust Porter",1.054,1.013,5.4,48.38,33.21
"Perplex Porter","Robust Porter",1.085,1.021,8.34,44.78,40
"Earth Stepper Gingered Porter","Robust Porter",1.053,1.013,5.18,49.15,38.92
"Fuller's london porter clone","English Porter",1.054,1.014,5.24,27.1,37.16
"Baltic Porter","Baltic Porter",1.075,1.024,6.66,36.47,26.58
"Bourbon Vanilla Porter","Baltic Porter",1.082,1.021,8.09,49.25,40
"Robuster","Robust Porter",1.056,1.012,5.74,33.55,30.17
"Bekkalokket","American Porter",1.071,1.024,6.18,44.71,38.57
"Founders Porter clone","Robust Porter",1.064,1.015,6.44,50.3,43.98
"Blueberry Porter","Robust Porter",1.065,1.015,6.46,31.27,50
"24 1804 Barclay Perkins TT","Brown Porter",1.055,1.015,5.28,84.51,29.42
"Coconut Coffee Porter w/Macadamia Nuts","Robust Porter",1.081,1.018,8.21,41.09,41.15
"Chocolate Porter (Gluten Free)","Brown Porter",1.051,1.015,4.81,12.87,17.9
"Cocoa Porter","Robust Porter",1.065,1.016,6.34,0,24.69
"Coffee porter","Robust Porter",1.065,1.017,6.24,111.72,50
"Maple pecan porter","Robust Porter",1.055,1.013,5.53,41.97,40
"Robust Chocolate Porter (Patio 1812)","Robust Porter",1.062,1.012,6.81,40.65,48.65
"Shake","Robust Porter",1.061,1.016,5.93,44.58,34.73
"Vanilla Porter","Robust Porter",1.064,1.015,6.44,58.01,29.65
"White House Honey Porter (Official Recipe)...","Brown Porter",1.053,1.012,5.37,25.91,24.79
"Taylormade Porter","Robust Porter",1.049,1.007,5.52,42.89,30.08
"Unladen Swallow Coconut Porter","Baltic Porter",1.082,1.02,8.14,38.79,39.74
"Baltic Porter","Baltic Porter",1.078,1.019,7.84,33.78,28.97
"Baltic Porter II","Baltic Porter",1.088,1.025,8.19,32.63,27.05
"Sweet Potato Porter","Robust Porter",1.063,1.016,6.14,0,35.67
"Jamil's Chocolate Hazelnut Porter","Baltic Porter",1.075,1.027,6.37,91.65,45.62
"Vanilla porter","Robust Porter",1.06,1.012,6.29,27.87,33.13
"Graham cracker porter","American Porter",1.054,1.014,5.24,21.95,32.52
"Celebration Porter","Robust Porter",1.065,1.019,5.94,20.2,37.74
"Cat's Paw Porter","Robust Porter",1.061,1.015,6.02,62.06,30.63
"Hey Cocoa Porter (My Ode to Johnny Cash)","Robust Porter",1.075,1.018,7.48,49.05,40
"Imperial Baltic Porter","Baltic Porter",1.112,1.031,10.6,21.32,41.39
"Lånas Porter kopi","Brown Porter",1.076,1.021,7.2,46.91,35.93
"Black Tower Porter","Robust Porter",1.042,1.018,4.6,0,33
"Gingerbread Porter","Brown Porter",1.061,1.02,5.33,24.78,35.8
"Brew #003 - Smoked Porter - partial mash (DM...","Brown Porter",1.049,1.014,4.67,33.71,22.94
"Ebony Oatmeal Porter (Exotic Wood Series)...","Robust Porter",1.052,1.015,4.89,29.34,35.57
"Chocolate Coconut Porter","Robust Porter",1.069,1.014,7.23,48.77,41.64
"Oaked vanilla bourbon porter","Robust Porter",1.09,1.017,9.48,48.28,39.33
"Americo Gonzalez Aquino's Recipe","Robust Porter",1.055,1.014,5.38,0,24.68
"007 373 5963  Punch Out Porter","Brown Porter",1.05,1.014,4.79,29.86,29.19
"Are you Fuggles serious?!","English Porter",1.061,1.018,5.62,39.87,49.34
"Big black bling papa sitting on a porch with...","Brown Porter",1.055,1.012,5.63,44.8,50
"Black Butte (Gluten Free)","Robust Porter",1.06,1.022,4.9,36.24,38.57
"Chocolate Peanut Butter Porter","Robust Porter",1.062,1.02,5.52,36.21,29.97
"VLP - Vanilla Licorice Porter","Robust Porter",1.045,1.016,3.93,11.62,25.77
"Baltic Porter","Baltic Porter",1.086,1.019,8.78,50.68,32.63
"Robust Porter 3","American Porter",1.066,1.016,6.46,43.14,35.2
"Old Shatterhand","Robust Porter",1.083,1.019,8.39,40.92,26.74
"#2  Julebrygg 2012","Robust Porter",1.061,1.017,5.76,33.03,31.71
"Hamblen Farm Porter","Brown Porter",1.051,1.015,4.7,60.95,24.05
"Smuttynose Baltic Porter #1","Baltic Porter",1.07,1.017,6.95,26.41,25.13
"Holy Mole Mexican Porter","Robust Porter",1.059,1.016,5.7,52.46,40
"Coconut porter","American Porter",1.065,1.015,6.54,53.14,33.66
"Elysian Perseus Porter Clone","Robust Porter",1.055,1.014,5.39,0,28.31
"Denny's Vanilla Bourbon Porter","Robust Porter",1.081,1.019,8.17,38.22,40
"Fiskebäck Porter","Robust Porter",1.054,1.012,5.48,32.02,30.81
"Pecan Pie Porter","American Porter",1.069,1.015,7.15,35.07,36.75
"Billy's Session Porter","Brown Porter",1.052,1.014,4.88,20.54,20.36
"Black Butte Clone","Robust Porter",1.06,1.02,5.15,78.2,26.86
"Alex Freitas's Recipe 2","Robust Porter",1.068,1.018,6.55,0,37
"Sweet Baby Jesus Clone","Robust Porter",1.066,1.016,6.56,48.54,50
"Papazian Slanting Annie's Chocolate Porter...","Brown Porter",1.06,1.014,6.05,28.93,28.62
"Porter's Stout","Baltic Porter",1.077,1.019,7.56,44.43,23.1
"Black Butte Clone from CYBI","Robust Porter",1.052,1.015,4.92,35.84,24.54
"Palos Verdes Vanilla Porter","Robust Porter",1.066,1.023,5.73,39.82,34.58
"Porter - 1/2 Espresso 1/2 Smoked -  11 Gal...","Robust Porter",1.066,1.017,6.54,42.98,28.57
