Reference,Study_common_taxon,Site_name,Sampling_effort,Longitude,Latitude,species,Measurement,Effort_corrected_measurement
Cameron et al. 2011,Hymenoptera,"Great River Bluff State Park, Scenic Overlook Hwy 61 (MN08.site06)_08",60,-91.4277,43.97524,Bombus impatiens,21,59.49999999999999
Cameron et al. 2011,Hymenoptera,Hwy 16 east of Sparta (WI08.site04)_08,60,-90.74896,43.94267,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Hwy 16 east of Sparta (WI08.site04)_08,60,-90.74896,43.94267,Bombus impatiens,27,76.5
Cameron et al. 2011,Hymenoptera,Havana (IL08.site08)_08,60,-90.08789,40.25329,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Havana (IL08.site08)_08,60,-90.08789,40.25329,Bombus impatiens,4,11.333333333333332
Cameron et al. 2011,Hymenoptera,Sand Ridge SF (IL09.site01)_09,60,-89.85842,40.39017,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Sand Ridge SF (IL09.site01)_09,60,-89.85842,40.39017,Bombus impatiens,6,17
Cameron et al. 2011,Hymenoptera,Sand Ridge SF (IL08.site07)_08,60,-89.85842,40.39017,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Sand Ridge SF (IL08.site07)_08,60,-89.85842,40.39017,Bombus impatiens,1,2.833333333333333
Cameron et al. 2011,Hymenoptera,Sand Ridge SF (IL08.site07B)_08,60,-89.85842,40.39017,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,Sand Ridge SF (IL08.site07B)_08,60,-89.85842,40.39017,Bombus impatiens,26,73.66666666666666
Cameron et al. 2011,Hymenoptera,"Wisconsin Dells, behind Comfort Inn (WI08.site03)_08",60,-89.81106,43.64215,Bombus bifarius,0,0
Cameron et al. 2011,Hymenoptera,"Wisconsin Dells, behind Comfort Inn (WI08.site03)_08",60,-89.81106,43.64215,Bombus impatiens,4,11.333333333333332
Cameron et al. 2011,Hymenoptera,Hwy 13 near I90 (WI08.site05)_08,60,-89.80605,43.62648,Bombus bifarius,0,0
